	model_id	auc	logloss	aucpr	mean_per_class_error	rmse	mse
237	DeepLearning_grid_2_AutoML_1_20231025_134033_model_3	0.7023172905525846	2.080271364198326	0.7050074504273478	0.32742869875222813	0.5476020987973852	0.2998680586073012
238	DeepLearning_grid_1_AutoML_1_20231025_134033_model_181	0.7022058823529412	1.9631882983509814	0.6868148127384321	0.36463903743315507	0.5447843243947691	0.296789960106265
239	DeepLearning_grid_1_AutoML_1_20231025_134033_model_194	0.7019830659536542	2.5319621814786957	0.677997017422354	0.3897058823529412	0.5529702729677474	0.30577612278602506
240	DeepLearning_grid_1_AutoML_1_20231025_134033_model_47	0.7014260249554367	2.981302457790176	0.7501531431222287	0.4506461675579323	0.5536883536321339	0.3065707929478629
241	DeepLearning_grid_1_AutoML_1_20231025_134033_model_291	0.7012032085561497	2.2622900545215034	0.7449396115791967	0.33177361853832443	0.560653026265593	0.31433181586076775
242	DeepLearning_grid_1_AutoML_1_20231025_134033_model_71	0.7004233511586453	1.3452396174470107	0.7159676013212217	0.3325534759358289	0.5325890613067997	0.2836511082236581
243	DeepLearning_grid_1_AutoML_1_20231025_134033_model_306	0.7003676470588235	1.9305478391803867	0.6529047682229916	0.312945632798574	0.5283255814553078	0.2791279200200891
244	DeepLearning_grid_1_AutoML_1_20231025_134033_model_184	0.7003676470588235	2.220390875141988	0.6827373394266669	0.37210338680926913	0.5421736280499745	0.29395224295287203
245	DeepLearning_grid_1_AutoML_1_20231025_134033_model_51	0.7003119429590018	1.77193398610349	0.7064559477632323	0.3356729055258467	0.5442123185869001	0.2961670477017297
246	DeepLearning_grid_1_AutoML_1_20231025_134033_model_133	0.6999777183600714	1.7879350395440687	0.6783782250712657	0.33879233511586454	0.5379440144201943	0.2893837626505143
247	DeepLearning_grid_1_AutoML_1_20231025_134033_model_159	0.6996434937611409	2.6201776413022038	0.7010588402888174	0.3638591800356506	0.5604660041332155	0.3141221417890535
248	DeepLearning_grid_1_AutoML_1_20231025_134033_model_227	0.6996434937611409	1.819165333873093	0.707139333125127	0.4651292335115864	0.5448224517382279	0.29683150391805363
249	DeepLearning_grid_1_AutoML_1_20231025_134033_model_80	0.6994206773618538	1.447507314758663	0.6932692577256725	0.37522281639928695	0.5477975444190903	0.3000821496715853
250	DeepLearning_grid_2_AutoML_1_20231025_134033_model_6	0.6990864527629234	1.4468449471281788	0.6953636798722201	0.34959893048128343	0.5303900194093724	0.2813135726890744
251	DeepLearning_grid_1_AutoML_1_20231025_134033_model_118	0.698306595365419	2.397403723973618	0.7249727651548205	0.39639037433155083	0.5588287466600562	0.3122895680936493
252	DeepLearning_grid_1_AutoML_1_20231025_134033_model_211	0.6978609625668449	1.4007027305852393	0.679564922130842	0.348596256684492	0.5282251642502128	0.2790218241471643
253	DeepLearning_grid_1_AutoML_1_20231025_134033_model_54	0.6976938502673797	2.4155778952091382	0.7215831541070266	0.3568404634581105	0.548174845235641	0.3004956609491189
254	DeepLearning_grid_1_AutoML_1_20231025_134033_model_199	0.6974153297682709	1.8763994406711324	0.6810067506390219	0.33233065953654184	0.5329710328813901	0.2840581218906559
255	DeepLearning_grid_2_AutoML_1_20231025_134033_model_35	0.6970811051693405	1.4272503264124827	0.6857435579364782	0.3374554367201426	0.5355464714393666	0.28681002307115633
256	DeepLearning_grid_1_AutoML_1_20231025_134033_model_127	0.6968582887700534	2.14328232924831	0.7088380593978602	0.34135472370766484	0.5665298765927358	0.3209561010721805
257	DeepLearning_grid_2_AutoML_1_20231025_134033_model_22	0.69674688057041	1.6141447085340406	0.7102018969106899	0.3824643493761141	0.554500487120066	0.3074707902163905
258	DeepLearning_grid_1_AutoML_1_20231025_134033_model_190	0.6960784313725491	1.9030601376056755	0.6865590646152239	0.410873440285205	0.5574803768340509	0.3107843705550354
259	DeepLearning_grid_2_AutoML_1_20231025_134033_model_7	0.6959670231729055	2.999481143789298	0.693055752340585	0.41811497326203206	0.5653555309389743	0.31962687636328957
260	DeepLearning_grid_1_AutoML_1_20231025_134033_model_268	0.6952985739750446	2.3080556992094667	0.6925117726775698	0.34547682709447414	0.5594084521832492	0.31293781637405865
261	DeepLearning_grid_1_AutoML_1_20231025_134033_model_83	0.6950757575757576	1.3684263261931844	0.6860649068614608	0.33489304812834225	0.5269668548317367	0.2776940660912526
262	DeepLearning_grid_1_AutoML_1_20231025_134033_model_177	0.6950757575757576	1.6491352009500584	0.6921229407133853	0.48295454545454547	0.5585335394532174	0.3119597146941387
263	DeepLearning_grid_3_AutoML_1_20231025_134033_model_19	0.6946301247771836	1.5971457721125022	0.6769370562152834	0.3333333333333333	0.5805189831912749	0.3370022898454317
264	DeepLearning_grid_1_AutoML_1_20231025_134033_model_33	0.69451871657754	1.6355423527574373	0.6677716882955415	0.36408199643493766	0.538497074295092	0.28997909902437374
265	DeepLearning_grid_3_AutoML_1_20231025_134033_model_13	0.6944073083778967	0.746722380395664	0.6697235892972235	0.35505793226381466	0.496515966668547	0.24652810515680168
266	DeepLearning_grid_1_AutoML_1_20231025_134033_model_85	0.6937388591800356	1.241628445163601	0.6743811658851471	0.31706773618538325	0.5142696507879049	0.26447327372151364
267	DeepLearning_grid_1_AutoML_1_20231025_134033_model_206	0.6937388591800356	3.7628298730380725	0.6908804274855307	0.42457664884135476	0.5627857654754576	0.31672781782179676
268	DeepLearning_grid_1_AutoML_1_20231025_134033_model_203	0.6936831550802139	2.203373743252508	0.6936451742300349	0.3891488413547237	0.5473527791515718	0.29959506484494935
269	DeepLearning_grid_3_AutoML_1_20231025_134033_model_14	0.6932932263814616	1.3800244493168192	0.6947846864271618	0.3971702317290553	0.5398325778988831	0.2914192121609536
270	DeepLearning_grid_1_AutoML_1_20231025_134033_model_105	0.6929590017825311	1.2660058146992998	0.7026164381903307	0.3672014260249554	0.5375172289991943	0.28892477147097234
271	DeepLearning_grid_1_AutoML_1_20231025_134033_model_121	0.6927361853832442	4.046534342912191	0.713382954234899	0.3723262032085562	0.5792326387473841	0.3355104497902575
272	DeepLearning_grid_2_AutoML_1_20231025_134033_model_2	0.6926247771836007	1.1672432361110028	0.6958068973986327	0.37934491978609625	0.5309694604971836	0.28192856798067023
273	DeepLearning_grid_2_AutoML_1_20231025_134033_model_36	0.6925133689839572	1.89453319138648	0.6800517758205862	0.33489304812834225	0.5646608108615956	0.3188418313228746
274	DeepLearning_grid_2_AutoML_1_20231025_134033_model_21	0.6922905525846702	0.9544310620902302	0.7407921870084092	0.44006238859180036	0.5170181635130805	0.2673077814024385
275	DeepLearning_grid_1_AutoML_1_20231025_134033_model_212	0.6921791443850268	3.323072178304599	0.6977465159208053	0.3679812834224599	0.555387019818264	0.3084547417826128
276	DeepLearning_grid_1_AutoML_1_20231025_134033_model_224	0.6912878787878788	1.5714207572497298	0.677901018920279	0.31706773618538325	0.542513553361179	0.2943209555805728
277	DeepLearning_grid_2_AutoML_1_20231025_134033_model_24	0.6912878787878788	1.4215644692892313	0.6806204400036159	0.34469696969696967	0.534773412442596	0.28598260265549885
278	DeepLearning_grid_1_AutoML_1_20231025_134033_model_57	0.6906194295900178	2.6558261523282827	0.6872971780628775	0.39226827094474154	0.5645665013665763	0.31873533446529634
279	DeepLearning_grid_3_AutoML_1_20231025_134033_model_17	0.6903966131907309	1.188760046482912	0.6985996413369453	0.38680926916221037	0.5234471223524623	0.2739968898990736
280	DeepLearning_grid_1_AutoML_1_20231025_134033_model_245	0.6900623885918004	2.9532479184670977	0.6753800069020117	0.33233065953654184	0.5644725556182185	0.31862926604616276
281	GLM_1_AutoML_1_20231025_134033	0.6899509803921569	0.6492457481565357	0.6782621686549537	0.3390151515151515	0.47649857060151407	0.2270508877852861
282	DeepLearning_grid_1_AutoML_1_20231025_134033_model_216	0.6897281639928698	1.6701698611436682	0.7171666550432043	0.3826871657754011	0.5500811761342442	0.30258930033723347
283	DeepLearning_grid_1_AutoML_1_20231025_134033_model_10	0.6893939393939393	1.3795221095932555	0.7064011451716332	0.3938279857397505	0.5512384198172423	0.3038637954826103
284	DeepLearning_grid_1_AutoML_1_20231025_134033_model_201	0.6890597147950089	1.3770800747021272	0.7206714938281967	0.37210338680926913	0.5410712791185079	0.2927581290869383
285	DeepLearning_grid_2_AutoML_1_20231025_134033_model_40	0.6890597147950089	1.8278398198040577	0.6955659654372566	0.31495098039215685	0.5486105596195031	0.30097354612602434
286	DeepLearning_grid_1_AutoML_1_20231025_134033_model_321	0.6890040106951871	3.7999779257946567	0.6880419393767919	0.3850267379679144	0.5749987343307669	0.3306235444819838
287	DeepLearning_grid_1_AutoML_1_20231025_134033_model_40	0.6889483065953654	1.30048932612248	0.6755503485236692	0.36408199643493766	0.5326931746638981	0.2837620183335023
288	DeepLearning_grid_1_AutoML_1_20231025_134033_model_1	0.6885026737967914	1.2285590810832958	0.7280393657337049	0.48707664884135476	0.5288018032660043	0.279631347137378
289	DeepLearning_grid_1_AutoML_1_20231025_134033_model_111	0.6878342245989305	2.0264585696863833	0.7052663488304066	0.3444741532976827	0.5661756169723355	0.3205548292540048
290	DeepLearning_grid_1_AutoML_1_20231025_134033_model_55	0.6873885918003565	1.8556143636301548	0.7025836267958888	0.41755793226381466	0.5415391859279658	0.29326468989552396
291	DeepLearning_grid_3_AutoML_1_20231025_134033_model_25	0.687277183600713	1.0754981931555647	0.717708721428217	0.34881907308377896	0.5309963682621702	0.2819571431076143
292	DeepLearning_grid_1_AutoML_1_20231025_134033_model_132	0.6871100713012478	2.4528010699585914	0.6929756003037667	0.40051247771836007	0.5605430814721913	0.31420854618633975
293	DeepLearning_grid_1_AutoML_1_20231025_134033_model_263	0.6866644385026738	2.133807027431256	0.6918110293812064	0.39204545454545453	0.571894966143103	0.3270638522998209
294	DeepLearning_grid_1_AutoML_1_20231025_134033_model_169	0.6866087344028521	1.476366324492326	0.6844156250931401	0.3607397504456328	0.5491228167845904	0.3015358679134429
295	DeepLearning_grid_1_AutoML_1_20231025_134033_model_3	0.6866087344028521	1.75510870667721	0.6903334271781096	0.4359402852049911	0.5473626642288626	0.29960588619171863
296	DeepLearning_grid_1_AutoML_1_20231025_134033_model_220	0.6863302139037434	3.4048452946296774	0.7146484108474865	0.36564171122994654	0.5970797848662336	0.35650426949590774
297	DeepLearning_grid_2_AutoML_1_20231025_134033_model_4	0.6862745098039216	1.4129664491749427	0.6912461892459241	0.3897058823529412	0.5645329882239707	0.3186974947930858
298	DeepLearning_grid_3_AutoML_1_20231025_134033_model_30	0.6860516934046346	0.7434710382951429	0.718418649441285	0.3625222816399287	0.49472444315839154	0.2447522746583806
299	DeepLearning_grid_1_AutoML_1_20231025_134033_model_103	0.6850490196078431	2.8427380883049396	0.7051969541660555	0.39327094474153296	0.5803144203706175	0.3367648264900858
300	DeepLearning_grid_1_AutoML_1_20231025_134033_model_264	0.6849376114081996	2.5640514178040896	0.6752248254055452	0.34135472370766484	0.5401504706017961	0.29176253089134185
301	DeepLearning_grid_1_AutoML_1_20231025_134033_model_104	0.6848262032085561	1.5102871890146907	0.6872025013321741	0.3625222816399287	0.5453804571892441	0.29743984308394894
302	DeepLearning_grid_1_AutoML_1_20231025_134033_model_259	0.6847704991087343	2.4419004281813956	0.6664058741856929	0.34781639928698754	0.5695466039900187	0.3243833341165631
303	DeepLearning_grid_1_AutoML_1_20231025_134033_model_79	0.6847147950089126	1.9580159702265345	0.6952246334160096	0.38580659536541895	0.562937959468759	0.31689914621085014
304	DeepLearning_grid_1_AutoML_1_20231025_134033_model_131	0.6846033868092691	2.3609331202401664	0.6761393660125659	0.3284313725490196	0.5594468378228987	0.3129807643500407
305	DeepLearning_grid_3_AutoML_1_20231025_134033_model_11	0.6844919786096256	2.042647755367007	0.6632423353477855	0.3824643493761141	0.5543936345636168	0.30735230204465713
306	DeepLearning_grid_1_AutoML_1_20231025_134033_model_189	0.6841020499108734	2.4081782920772747	0.6653677563005739	0.3791221033868093	0.5701234860557136	0.3250407893523195
307	DeepLearning_grid_2_AutoML_1_20231025_134033_model_16	0.6837121212121212	1.328453890125193	0.6936203439366565	0.39639037433155083	0.5448025096899468	0.29680977456446456
308	DeepLearning_grid_1_AutoML_1_20231025_134033_model_171	0.6835450089126559	1.63606176045061	0.6804776263647483	0.3834670231729055	0.5539492828738175	0.3068598079964167
309	DeepLearning_grid_1_AutoML_1_20231025_134033_model_96	0.6834893048128342	2.2821866984242765	0.6916516188229725	0.34135472370766484	0.5783772441770888	0.33452023658188385
